"","Community","chiefOfficial","policyBoard","legislativeBody","city","cityCharter","policySize","legislativeSize","homeRule"
"1","Abington ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1974"
"2","Acton ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1969"
"3","Acushnet ","TA","Selectmen ","OTM",FALSE,NA,"3",NA,"1971"
"4","Adams ","TA","Selectmen ","RTM",FALSE,NA,"5",NA,"1983"
"5","AGAWAM  ","Mayor","","Council ",TRUE,"(A)",NA,"11","1972"
"6","Alford","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"7","AMESBURY  ","Mayor","","Council ",TRUE,"(F)",NA,"9","1996"
"8","AMHERST","TM","","Council ",TRUE,NA,NA,"13",NA
"9","Andover","TM","Select Board ","OTM",FALSE,NA,"5",NA,NA
"10","Aquinnah","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"11","Arlington","TM","Select Board ","RTM",FALSE,NA,"5",NA,NA
"12","Ashburnham","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"13","Ashby","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"14","Ashfield","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"15","Ashland","TM","Select Board ","OTM",FALSE,NA,"5",NA,NA
"16","Athol","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"17","ATTLEBORO ","Mayor","","Council ",TRUE,NA,NA,"11","1973"
"18","Auburn ","TM","Selectmen ","RTM",FALSE,NA,"5",NA,"1969"
"19","Avon","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"20","Ayer","TM","Select Board ","OTM",FALSE,NA,"3",NA,NA
"21","BARNSTABLE ","TM","","Council ",TRUE,NA,NA,"13","1989"
"22","Barre","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"23","Becket","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"24","Bedford ","TM","Select Board ","OTM",FALSE,NA,"5",NA,"1974"
"25","Belchertown","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"26","Bellingham","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"27","Belmont ","TA","Select Board ","RTM",FALSE,NA,"3",NA,"1926"
"28","Berkley","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"29","Berlin","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"30","Bernardston","TC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"31","BEVERLY ","Mayor","","Council ",TRUE,"(A)",NA,"9",NA
"32","Billerica ","TM","Selectmen ","RTM",FALSE,NA,"5",NA,"1979"
"33","Blackstone ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1974"
"34","Blandford","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"35","Bolton","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"36","BOSTON ","Mayor","","Council ",TRUE,"(A)",NA,"13",NA
"37","Bourne","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"38","Boxborough","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"39","Boxford","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"40","Boylston","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"41","BRAINTREE","Mayor","","Council ",TRUE,NA,NA,"9",NA
"42","Brewster","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"43","BRIDGEWATER","TM","","Council ",TRUE,NA,NA,"9",NA
"44","Brimfield","","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"45","BROCKTON","Mayor","","Council ",TRUE,NA,NA,"11",NA
"46","Brookfield","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"47","Brookline","TA","Select Board ","RTM",FALSE,NA,"5",NA,NA
"48","Buckland","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"49","Burlington","TA","Selectmen ","RTM",FALSE,NA,"5",NA,NA
"50","CAMBRIDGE  ","Mayor-Manager","","Council ",TRUE,"(E)",NA,"9","1941"
"51","Canton","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"52","Carlisle","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"53","Carver","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"54","Charlemont","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"55","Charlton","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"56","Chatham","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"57","Chelmsford ","TM","Select Board ","RTM",FALSE,NA,"5",NA,"1989"
"58","CHELSEA","Manager","","Council ",TRUE,NA,NA,"11",NA
"59","Cheshire","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"60","Chester","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"61","Chesterfield","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"62","CHICOPEE","Mayor","","Council ",TRUE,NA,NA,"13",NA
"63","Chilmark","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"64","Clarksburg","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"65","Clinton","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"66","Cohasset","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"67","Colrain","TC","Select Board ","OTM",FALSE,NA,"3",NA,NA
"68","Concord ","TM","Select Board ","OTM",FALSE,NA,"5",NA,"1957"
"69","Conway","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"70","Cummington","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"71","Dalton","TM","Select Board ","OTM",FALSE,NA,"5",NA,NA
"72","Danvers","TM","Select Board ","RTM",FALSE,NA,"5",NA,NA
"73","Dartmouth","TA","Select Board ","RTM",FALSE,NA,"5",NA,NA
"74","Dedham ","TM","Select Board ","RTM",FALSE,NA,"5",NA,"1974"
"75","Deerfield","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"76","Dennis","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"77","Dighton","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"78","Douglas","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"79","Dover","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"80","Dracut ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1985"
"81","Dudley","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"82","Dunstable","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"83","Duxbury","TM","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"84","East Bridgewater","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"85","East Brookfield","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"86","Eastham","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"87","EASTHAMPTON ","Mayor","","Council ",TRUE,NA,NA,"9","1996"
"88","EAST LONGMEADOW","TM","","Council ",TRUE,NA,NA,"7",NA
"89","Easton ","TA","Select Board ","OTM",FALSE,NA,"5",NA,"1972"
"90","Edgartown","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"91","Egremont","","Select Board ","OTM",FALSE,NA,"3",NA,NA
"92","Erving","AC","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"93","Essex","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"94","EVERETT","Mayor","","Council ",TRUE,NA,NA,"11",NA
"95","Fairhaven","TA","Selectmen ","RTM",FALSE,NA,"3",NA,NA
"96","FALL RIVER ","Mayor","","Council ",TRUE,"(A)",NA,"9",NA
"97","Falmouth","TM","Selectmen ","RTM",FALSE,NA,"5",NA,NA
"98","FITCHBURG ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"99","Florida","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"100","Foxborough","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"101","FRAMINGHAM","Mayor","","Council ",TRUE,NA,NA,"11",NA
"102","FRANKLIN ","TA","","Council ",TRUE,NA,NA,"9","1978"
"103","Freetown","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"104","GARDNER ","Mayor","","Council ",TRUE,"(B)",NA,"11",NA
"105","Georgetown","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"106","Gill","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
